NB,AB,BC,MB,NS,QC,ON,SK,NL,NT,YT,PE,NU,FLOOD,LANDSLIDE,SEVERE THUNDERSTORMS,WINTER STORM,AVALANCHE,WILDFIRE,TORNADO,STORM - OTHER,EARTHQUAKE,HURRICANE,DROUGHT,EPIDEMIC,INFESTATION,STORM SURGE,TSUNAMI,HEAT EVENT
0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,5,1,0,1,0,0,0,3,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,22,2,2,6,4,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,10,2,8,9,0,4,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7,2,0,7,5,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,2,0,2,1,0,0,5,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,14,5,2,10,7,2,3,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,13,7,0,15,16,4,0,1,0,2,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,1,0,7,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,4,6,1,5,0,0,0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,28,25,27,6,28,33,13,13,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,23,0,0,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,10,7,3,14,13,7,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,5,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,9,7,2,10,15,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,5,1,7,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,5,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
